company,rank,revenues,profits,assets,industry,sector,previous_rank,country,employees
Country Garden Holdings,467,23044,1733.6,85124,Real estate,Financials,0,China,94450
Heineken Holding,468,23044,861.5,41469,Beverages,"Food, Beverages & Tobacco",459,Netherlands,73525
Enterprise Products Partners,469,23022,2513.1,52194,Pipelines,Energy,392,USA,6800
AstraZeneca,470,23002,3499,62526,Pharmaceuticals,Health Care,435,Britain,59700
Amgen,471,22991,7722,77626,Pharmaceuticals,Health Care,487,USA,19200
Rabobank Group,472,22956,828.3,698790,Banks: Commercial and Savings,Financials,445,Netherlands,40029
Altice,473,22953,-1722.5,84805,Telecommunications,Telecommunications,0,Netherlands,49732
Onex,474,22943,-130,42913,Semiconductors and Other Electronic Components,Technology,483,Canada,161000
US Foods Holding,475,22919,209.8,8945,Wholesalers: Food and Grocery,Wholesalers,461,USA,25000
Randstad Holding,477,22873,650.2,9624,Temporary Help,Business Services,494,Netherlands,32280
Tencent Holdings,478,22871,6185.9,56968,Internet Services and Retailing,Technology,0,China,38775
LG Display,479,22840,781.4,20606,"Electronics, Electrical Equip.",Technology,429,South Korea,49094
Emirates Group,480,22799,340.3,33096,Airlines,Transportation,472,U.A.E,64768
U.S. Bancorp,481,22744,5888,445964,Banks: Commercial and Savings,Financials,490,USA,71191
H & M Hennes & Mauritz,482,22618,2192.3,10681,Specialty Retailers,Retailing,488,Sweden,114586
Aflac,483,22559,2659,129819,"Insurance: Life, Health (stock)",Financials,0,USA,10212
Sodexo,484,22477,707.2,15766,Food Services,"Hotels, Restaurants & Leisure",466,France,425594
Suning Commerce Group,485,22366,106,19738,Specialty Retailers,Retailing,0,China,60354
GS Caltex,486,22207,1221.1,15969,Petroleum Refining,Energy,431,South Korea,2949
Ultrapar Holdings,487,22167,447.5,7426,Energy,Energy,474,Brazil,15173
Xiamen C&D,488,22145,280.2,21729,Trading,Wholesalers,0,China,18381
Sears Holdings,489,22138,-2221,9362,General Merchandisers,Retailing,425,USA,140000
China General Technology,490,22113,413.6,20860,"Engineering, Construction",Engineering & Construction,383,China,38589
National Grid,491,22036,10150.6,82310,Utilities,Energy,471,Britain,22132
Dollar General,492,21987,1251.1,11672,Specialty Retailers,Retailing,0,USA,121000
Telecom Italia,493,21941,1999.4,74295,Telecommunications,Telecommunications,404,Italy,61227
Xiamen ITG Holding Group,494,21930,35.6,12161,Trading,Wholesalers,0,China,18454
Teva Pharmaceutical Industries,496,21903,329,92890,Pharmaceuticals,Health Care,0,Israel,56960
New China Life Insurance,497,21796,743.9,100609,"Insurance: Life, Health (stock)",Financials,427,China,54378
Wm. Morrison Supermarkets,498,21741,406.4,11630,Food and Drug Stores,Food & Drug Stores,437,Britain,77210
TUI,499,21655,1151.7,16247,Travel Services,Business Services,467,Germany,66779
AutoNation,500,21609,430.5,10060,Specialty Retailers,Retailing,0,USA,26000
